"","age_mortality_id","x","list_x_units","n","ax","cap_nx","cap_dx","mx","lx_real","lx_stand","dx_real","dx_stand","px","qx","mjux","cap_lx_real","cap_lx_stand","ex","smoothed","animal","age_scaled","age_proportion"
"206","DL00080_TryonLT03.csv",2,NA,19,0.5,NA,NA,NA,8,0.4211,2,0.1053,0.7499,0.2501,0.2878,NA,0.3685,2.3122,NA,"Eastern chipmunk (Tamius striatus)",-0.47442723797074,0.2
"207","DL00080_TryonLT36.csv",1,NA,13,0.5,NA,NA,NA,8,0.6154,2,0.1539,0.7499,0.2501,0.2878,NA,0.5385,2.4998,NA,"Eastern chipmunk (Tamius striatus)",-0.861079881562819,0.1
"208","DL00080_TryonLT06.csv",8,NA,20,0.5,NA,NA,NA,4,0.2,1,0.05,0.75,0.25,0.2877,NA,0.175,1.625,NA,"Eastern chipmunk (Tamius striatus)",1.84548862358173,0.8
"209","DL00080_TryonLT48.csv",3,NA,20,0.5,NA,NA,NA,4,0.2,1,0.05,0.75,0.25,0.2877,NA,0.175,2.125,NA,"Eastern chipmunk (Tamius striatus)",-0.0877745943786614,0.3
"210","DL00080_TryonLT05.csv",2,NA,11,0.5,NA,NA,NA,4,0.3636,1,0.0909,0.75,0.25,0.2877,NA,0.3182,2.125,NA,"Eastern chipmunk (Tamius striatus)",-0.47442723797074,0.2
"211","DL00080_TryonLT53.csv",1,NA,55,0.5,NA,NA,NA,24,0.4364,6,0.1091,0.75,0.25,0.2877,NA,0.3819,0.875,NA,"Eastern chipmunk (Tamius striatus)",-0.861079881562819,0.1
"212","DL00080_TryonLT24.csv",1,NA,9,0.5,NA,NA,NA,4,0.4444,1,0.1111,0.75,0.25,0.2877,NA,0.3889,2.875,NA,"Eastern chipmunk (Tamius striatus)",-0.861079881562819,0.1
"213","DL00080_TryonLT08.csv",2,NA,15,0.5,NA,NA,NA,8,0.5333,2,0.1333,0.75,0.25,0.2876,NA,0.4667,2.1875,NA,"Eastern chipmunk (Tamius striatus)",-0.47442723797074,0.2
"214","DL00080_TryonLT21.csv",1,NA,12,0.5,NA,NA,NA,8,0.6667,2,0.1667,0.75,0.25,0.2877,NA,0.5834,2.8124,NA,"Eastern chipmunk (Tamius striatus)",-0.861079881562819,0.1
"215","DL00080_TryonLT60.csv",0,NA,4,0.5,NA,NA,NA,4,1,1,0.25,0.75,0.25,0.2877,NA,0.875,0.875,NA,"Eastern chipmunk (Tamius striatus)",-1.2477325251549,0
"216","DL00080_TryonLT59.csv",3,NA,21,0.5,NA,NA,NA,4,0.1905,1,0.0476,0.7501,0.2499,0.2875,NA,0.1667,2.2501,NA,"Eastern chipmunk (Tamius striatus)",-0.0877745943786614,0.3
"217","DL00080_TryonLT02.csv",3,NA,17,0.5,NA,NA,NA,4,0.2353,1,0.0588,0.7501,0.2499,0.2875,NA,0.2059,2.6245,NA,"Eastern chipmunk (Tamius striatus)",-0.0877745943786614,0.3
"218","DL00080_TryonLT20.csv",5,NA,14,0.5,NA,NA,NA,4,0.2857,1,0.0714,0.7501,0.2499,0.2876,NA,0.25,2.5005,NA,"Eastern chipmunk (Tamius striatus)",0.685530692805496,0.5
"219","DL00080_TryonLT18.csv",6,NA,13,0.5,NA,NA,NA,4,0.3077,1,0.0769,0.7501,0.2499,0.2876,NA,0.2693,3.0002,NA,"Eastern chipmunk (Tamius striatus)",1.07218333639757,0.6
"220","DL00080_TryonLT36.csv",3,NA,13,0.5,NA,NA,NA,4,0.3077,1,0.0769,0.7501,0.2499,0.2876,NA,0.2693,1.9998,NA,"Eastern chipmunk (Tamius striatus)",-0.0877745943786614,0.3
"221","DL00080_TryonLT23.csv",3,NA,27,0.5,NA,NA,NA,4,0.1481,1,0.037,0.7502,0.2498,0.2875,NA,0.1296,2.1253,NA,"Eastern chipmunk (Tamius striatus)",-0.0877745943786614,0.3
